Bayi Kodu,Ünvan,Bölge,Mıntıka,ADRES,İL,İLÇE
30070625,PİR TİCARET KOLLEKTİF ŞİRKETİ -VEDAT PİR VE ORTAĞI  .,AKDENIZ,Adana,YEŞİLOBA MAHALLESİ T.CEMAL BERİKER BULVARI NO:670,Adana,SEYHAN
30074239,ERGİNKEKLİK PETROL ÜRÜNLERİ TAŞIMACILIK ZİRAİ ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.  .,AKDENIZ,Adana,HAYDAROĞLU MAH. KARATAŞ BULV. NO:238/A,Adana,YÜREĞİR
30070635,KILINÇ PETROL ÜRÜNLERİ NAKLİYAT YEDEK PA RÇA TARIM MAKİNALARI TİCARET VE SANAYİ L İMİTED ŞİRKETİ .,AKDENIZ,Adana,İNÖNÜ BULVARI SANAYİ CADDESİ NO:1,Adana,CEYHAN
30071126,ÇETİN İZOL   .,GUNEYDOGU ANADOLU,Gaziantep,DİYARBAKIR YOLU ÜZERİ 4.KM.,Şanlıurfa,KARAKÖPRÜ
30070850,KULÜBECİ PETROL MAR.TURİZM OTO TAR.ÜRÜNL ERİ VE ALETLERİ TİC.LTD.ŞTİ.  .,GUNEYDOGU ANADOLU,Hatay,MARAŞ BOĞAZI MEVKİİ,Hatay,ANTAKYA
30071967,MISTIK USTA TURİZM AKARYAKIT SANAYİ TİCA RET LİMİTED ŞİRKETİ  .,AKDENIZ,Adana,ALTIKARA MAH. ADANA ŞANLIURFA OTOYOLU BULVARI NO:4 GÜNEY,Adana,CEYHAN
30071514,MISTIK USTA TURİZM AKARYAKIT SANAYİ TİCA RET LİMİTED ŞİRKETİ  .,AKDENIZ,Adana,ALTIKARA MAH. ADANA ŞANLIURFA OTOYOLU BUL. NO:3 KUZEY,Adana,CEYHAN
30070961,KAPUSUZ KARDEŞLER İNŞAAT TURİZM TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ,GUNEYDOGU ANADOLU,Malatya,MALATYA HEKIMHAN YOLU SURUR KOYU MEVKII 29. KM.,Malatya,YAZIHAN
30072031,AÇILIM İNŞAAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ  .,GUNEYDOGU ANADOLU,Malatya,RÜSTEM PAŞA MAHALLESİ KAZIM KARABEKİR CADDESİ POLİS KARAKOLU,Elazığ,MERKEZ
30070827,ÖZDEMİRLER PETROL ÜRÜNLERİ SANAYİ VE TİC ARET LİMİTED ŞİRKETİ  .,GUNEYDOGU ANADOLU,Gaziantep,ACAROBA MAHALLESİ ADANA YOLU BULVARI NO:621,Gaziantep,ŞEHİTKAMİL
30070822,TÜRKMEN AKARYAKIT TEKSTİL VE TARIM ÜRÜNL ERİ İNŞAAT NAKLİYAT SANAYİ TİCARET LİMİT ED ŞİRKETİ .,GUNEYDOGU ANADOLU,Gaziantep,SERİNEVLER MAH. HATAY BULVARI NO:371,Gaziantep,İSLAHİYE
30071560,FIRAT UN VE YEM FAB.NAK.GIDA.PAZ.İTH.İHR SAN.TİC.LTD.ŞTİ.,GUNEYDOGU ANADOLU,Malatya,BULGURLU MAH. KANYON CAD. NO:45,Malatya,BATTALGAZİ
30071564,BALAK PETROL OTO İNŞ MALZEMELERİ TURİZM EMLAKÇILIK İNŞ TAAH GIDA TİC LTD ŞTİ  .,AKDENIZ,Adana,YEŞİLOBA MAHALLESİ 46253 SOKAĞI NO:18/B YENİ SANAYIİ SİTESİ,Adana,SEYHAN
30070825,ÇAĞDAŞ TURİZM VE SANAYİ ANONİM ŞİRKETİ   .,GUNEYDOGU ANADOLU,Gaziantep,SANI KONUKOGLU BULV. GATEM GIRISI,Gaziantep,ŞEHİTKAMİL
30070826,HAMDİ KUTLAR OĞULLARI PETROL ÜRÜNLERİ AN ONİM ŞİRKETİ  .,GUNEYDOGU ANADOLU,Gaziantep,HAVAALANI YOLU ÜZERİ 6.KM YEŞİLKENT MEVKİİ,Gaziantep,ŞAHİNBEY
30072756,SARIÇAM AKARYAKIT OTOMOTİV GIDA TARIM HA YVANCILIK İNŞAAT EMLAK NAKLİYAT SANAYİ V E TİCARET LİMİTED ŞİRKETİ .,AKDENIZ,Adana,BURUK İSTİKLAL MAH. BURUK CAD. NO:134/A,Adana,SARIÇAM
30071955,FATİH PETROL SANAYİ VE TİCARET LİMİTED Ş İRKETİ,GUNEYDOGU ANADOLU,Diyarbakır,13 MART MAH. 1/1 SK. NO: 2,Mardin,ARTUKLU
30071145,KONAÇ PETROL ÜRÜNLERİ NAKLİYE İNŞAAT TAAHHÜT TURİZM SANAYİ V,GUNEYDOGU ANADOLU,Diyarbakır,GAP MAH. DİYARBAKIR CAD. ESENTEPE KARŞISI /,Batman,MERKEZ
30072349,KARACA AKARYAKIT OTOMOTİV GIDA İNŞAAT SA NAYİ VE TİCARET LİMİTED ŞİRKETİ  .,AKDENIZ,Adana,ORHANGAZİ MAHALLESİ ATATÜRK CADDESİ NO:294,Adana,YÜREĞİR
30070876,GÜNAYDIN PETROL MOBİLYA İNŞAAT NARENCİYE VE TAŞIMACILIK SANAYİ TİCARET LİMİTED Şİ RKETİ .,AKDENIZ,Mersin,KARGIPINARI BELDESİ CUMHURİYET MAHALLESİ SİLİFKE CADDESİ,İçel,ERDEMLİ
30071052,KIZILAY YEM SANAYİ VE TİCARET ANONİM ŞİRKETİ,GUNEYDOGU ANADOLU,Diyarbakır,DOĞAN MAH. A.RAHMAN KAVAK CAD. NO:79,Siirt,MERKEZ
30074354,NEŞET KUNUR PETROL İNŞAAT NAKLİYAT OTOMOTİV SANAYİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Diyarbakır,OFİS MAHALLESİ İPEK YOLU CAD. PETROL OFİSİ SİT. NO:40,Şırnak,SİLOPİ
30071565,HÜRKAN PETROL ÜRÜNLERİ TİCARET LİMİTED Ş İRKETİ  .,GUNEYDOGU ANADOLU,Gaziantep,SEYRANTEPE MH. 100.YIL CD. NO:39,Gaziantep,ŞEHİTKAMİL
30071809,ÖZGÜR PETROL SANAYİ TİCARET LİMİTED ŞİRK ETİ  .,GUNEYDOGU ANADOLU,Hatay,MUSTAFA KEMAL MH. E SULTAN CD. NO 63,Hatay,MERKEZ
30073033,GAZİKENT PETROL AKARYAKIT VE OTOMOTİV SA NAYİ TİCARET ANONİM ŞİRKETİ,GUNEYDOGU ANADOLU,Gaziantep,KAHRAMANMARAŞ YOLU ÜZERİ 5.KM AKTOPRAK MEVKİİ,Gaziantep,ŞEHİTKAMİL
30072074,BOZAN SARI VE OĞULLARI AKARYAKIT NAKLİYA T TURİZM SEYAHAT İTHALAT İHRACAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ .,GUNEYDOGU ANADOLU,Gaziantep,AKÇAKALE YOLU BUĞDAY BORSASI YANI,Şanlıurfa,MERKEZ
30072407,ERKMAN AYDIN PETROL OTOMOTİV NAKLİYE TUR İZM GIDA TARIM TİCARET VE SANAYİ LİMİTED ŞİRKETİ .,AKDENIZ,Mersin,GÜLLÜK MAH.ATATÜRK BULVARI NO:89,İçel,MUT
30070879,ÜMİT AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ  .,AKDENIZ,Mersin,SARIİBRAHİMLİ MAHALLESİ BAĞCILAR MERSİN-TARSUS D-400 KARAYOL,İçel,TARSUS
30082081,MUSTAFA YILMAZ,GUNEYDOGU ANADOLU,Kahramanmaraş,KARABURUN KÖYÜ KARABURUN KÜME EVLERİ NO:222,Adıyaman,GÖLBAŞI
